node_id,type,name,source,label
DB00709,drug,Lamivudine,DrugBank,Drug
DB00712,drug,Flurbiprofen,DrugBank,Drug
DB00714,drug,Apomorphine,DrugBank,Drug
DB00717,drug,Norethisterone,DrugBank,Drug
DB00731,drug,Nateglinide,DrugBank,Drug
DB00734,drug,Risperidone,DrugBank,Drug
DB00737,drug,Meclizine,DrugBank,Drug
DB00743,drug,Gadobenic acid,DrugBank,Drug
DB00744,drug,Zileuton,DrugBank,Drug
DB00749,drug,Etodolac,DrugBank,Drug
DB00753,drug,Isoflurane,DrugBank,Drug
DB00755,drug,Tretinoin,DrugBank,Drug
DB00759,drug,Tetracycline,DrugBank,Drug
DB00762,drug,Irinotecan,DrugBank,Drug
DB00768,drug,Olopatadine,DrugBank,Drug
DB00774,drug,Hydroflumethiazide,DrugBank,Drug
DB00776,drug,Oxcarbazepine,DrugBank,Drug
DB00783,drug,Estradiol,DrugBank,Drug
DB00784,drug,Mefenamic acid,DrugBank,Drug
DB00787,drug,Acyclovir,DrugBank,Drug
DB00788,drug,Naproxen,DrugBank,Drug
DB00802,drug,Alfentanil,DrugBank,Drug
DB00808,drug,Indapamide,DrugBank,Drug
DB00813,drug,Fentanyl,DrugBank,Drug
DB00814,drug,Meloxicam,DrugBank,Drug
DB00815,drug,Sodium lauryl sulfate,DrugBank,Drug
DB00818,drug,Propofol,DrugBank,Drug
DB00829,drug,Diazepam,DrugBank,Drug
DB00842,drug,Oxazepam,DrugBank,Drug
DB00845,drug,Clofazimine,DrugBank,Drug
DB00847,drug,Cysteamine,DrugBank,Drug
DB00852,drug,Pseudoephedrine,DrugBank,Drug
DB00857,drug,Terbinafine,DrugBank,Drug
DB00864,drug,Tacrolimus,DrugBank,Drug
DB00870,drug,Suprofen,DrugBank,Drug
DB00878,drug,Chlorhexidine,DrugBank,Drug
DB00879,drug,Emtricitabine,DrugBank,Drug
DB00881,drug,Quinapril,DrugBank,Drug
DB00900,drug,Didanosine,DrugBank,Drug
DB00903,drug,Etacrynic acid,DrugBank,Drug
DB00908,drug,Quinidine,DrugBank,Drug
DB00912,drug,Repaglinide,DrugBank,Drug
DB00924,drug,Cyclobenzaprine,DrugBank,Drug
DB00931,drug,Metacycline,DrugBank,Drug
DB00936,drug,Salicylic acid,DrugBank,Drug
DB00938,drug,Salmeterol,DrugBank,Drug
DB00943,drug,Zalcitabine,DrugBank,Drug
DB00946,drug,Phenprocoumon,DrugBank,Drug
DB00950,drug,Fexofenadine,DrugBank,Drug
DB00951,drug,Isoniazid,DrugBank,Drug
DB00957,drug,Norgestimate,DrugBank,Drug
DB00959,drug,Methylprednisolone,DrugBank,Drug
DB00977,drug,Ethinylestradiol,DrugBank,Drug
DB00982,drug,Isotretinoin,DrugBank,Drug
DB00983,drug,Formoterol,DrugBank,Drug
DB00993,drug,Azathioprine,DrugBank,Drug
DB00995,drug,Auranofin,DrugBank,Drug
DB00997,drug,Doxorubicin,DrugBank,Drug
DB00999,drug,Hydrochlorothiazide,DrugBank,Drug
DB01006,drug,Letrozole,DrugBank,Drug
DB01009,drug,Ketoprofen,DrugBank,Drug
DB01015,drug,Sulfamethoxazole,DrugBank,Drug
DB01016,drug,Glyburide,DrugBank,Drug
DB01026,drug,Ketoconazole,DrugBank,Drug
DB01029,drug,Irbesartan,DrugBank,Drug
DB01032,drug,Probenecid,DrugBank,Drug
DB01039,drug,Fenofibrate,DrugBank,Drug
DB01044,drug,Gatifloxacin,DrugBank,Drug
DB01045,drug,Rifampicin,DrugBank,Drug
DB01050,drug,Ibuprofen,DrugBank,Drug
DB01053,drug,Benzylpenicillin,DrugBank,Drug
DB01056,drug,Tocainide,DrugBank,Drug
DB01057,drug,Echothiophate,DrugBank,Drug
